SECTION,NUMBER,ASSIGNED_NUMBER,ZONATION,ROCKWEED,ULVA,TURFWEED,SARGASSUM,TURKISH_WASHCLOTH,TURKISH_TOWEL,IRRIDESCENS,SUGAR,CCA,TAR,BROWN_OTHER,RED_OTHER,GREEN_OTHER,ENCRUSTING_OTHER,UNKNOWN
1,50,50,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,51,51,U,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1,52,52,U,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,53,1,L,1,1,0,0,0,0,1,1,0,0,2,0,2,0,0
2,54,2,L,1,1,0,1,0,0,1,0,0,0,2,0,2,0,0
2,55,3,M,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,56,4,M,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0
2,57,5,M,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
2,58,6,M,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0
2,59,7,M,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
2,60,8,M,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2,61,9,M,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2,62,10,M,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2,63,11,L,1,1,0,1,0,0,1,0,0,0,2,0,2,0,0
2,64,12,L,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0
2,65,13,L,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1
2,66,14,L,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2,67,15,L,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0
2,68,16,L,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2,69,17,M,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
2,70,18,M,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
2,71,19,M,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
2,72,20,M,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
2,73,21,M,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,74,22,M,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0
2,75,23,M,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0
2,76,24,M,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
2,77,25,U,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,78,26,U,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,79,27,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,80,28,U,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
2,81,29,U,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2,82,30,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,83,31,U,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
2,84,32,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
2,85,33,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,86,34,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,87,35,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,88,36,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,89,37,U,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,90,38,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,91,39,U,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,92,40,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,93,41,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,94,42,M,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0
2,95,43,M,1,0,1,1,0,0,0,0,1,1,2,0,1,2,0
2,96,44,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
2,97,45,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
2,98,46,L,1,1,1,1,1,1,1,1,0,0,6,0,2,0,0
2,99,47,L,1,1,0,1,1,1,1,1,1,0,5,0,2,1,0
2,100,48,L,0,1,0,1,1,1,0,0,1,0,3,1,1,1,0
2,101,49,L,0,1,1,1,0,1,0,1,1,0,4,0,1,1,0
2,102,50,L,0,1,1,1,1,1,0,0,1,0,4,0,1,1,1
2,103,51,L,0,1,0,0,0,1,0,0,1,0,2,0,1,1,0
2,104,52,L,0,1,1,1,0,1,0,0,0,0,4,1,1,0,0
2,105,53,L,0,1,0,1,0,1,0,0,0,0,3,0,1,0,0
2,106,54,L,0,1,1,1,1,1,1,0,0,0,6,1,1,0,1
2,107,55,L,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0
2,108,56,L,0,1,1,1,0,0,0,0,1,0,3,1,1,1,1
2,109,57,L,0,1,1,1,0,0,1,0,0,0,4,1,1,0,0
2,110,58,L,0,1,1,0,0,0,1,1,1,0,4,0,1,1,0
2,111,59,L,0,1,1,1,0,1,1,0,0,0,5,0,1,0,0
2,112,60,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,113,61,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,114,62,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,115,63,M,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0
2,116,64,M,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
2,117,65,M,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
2,118,66,M,1,0,1,0,0,0,1,0,0,0,2,0,1,0,0
2,119,67,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,120,68,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,121,69,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,122,70,M,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
2,123,71,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,124,1,L,1,1,0,0,1,0,1,0,0,0,2,0,2,0,0
3,125,2,L,0,1,0,1,1,0,1,0,0,0,3,0,1,0,0
3,126,3,L,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
3,127,4,L,1,1,0,1,0,0,0,1,0,0,2,0,2,0,0
3,128,5,L,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0
3,129,6,L,0,1,1,0,0,0,0,1,0,0,2,1,1,0,0
3,130,7,L,1,1,0,1,0,0,1,0,0,0,2,0,2,0,0
3,131,8,L,0,1,1,1,0,0,0,0,0,0,2,0,1,0,1
3,132,9,M,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1
3,133,10,M,1,1,0,1,1,1,0,0,0,0,3,0,2,0,0
3,134,11,M,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0
3,135,12,M,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0
3,136,13,M,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
3,137,14,M,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
3,138,15,L,0,1,0,1,1,0,0,1,0,0,3,0,1,0,0
3,139,16,L,1,1,0,0,1,0,0,1,0,0,2,1,2,0,0
3,140,17,L,1,1,0,1,0,0,0,0,0,0,2,0,2,0,0
3,141,18,L,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0
3,142,19,M,1,1,0,1,0,0,0,0,1,0,1,0,2,1,0
3,143,20,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,144,21,L,0,1,0,1,1,0,0,1,0,0,3,0,1,0,0
3,145,22,L,0,1,0,0,1,0,1,1,0,0,3,1,1,0,0
3,146,23,L,1,1,0,0,1,0,0,0,0,1,1,1,2,1,0
3,147,24,L,1,1,0,1,0,0,0,0,0,0,1,1,2,0,0
3,148,25,M,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,149,26,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,150,27,U,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
3,151,28,U,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
3,152,29,L,1,1,0,1,0,1,0,1,0,0,3,1,2,0,0
3,153,30,L,1,1,0,1,0,1,0,0,0,0,2,1,2,0,0
3,154,31,M,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
3,155,32,M,1,1,0,0,1,0,0,0,0,0,1,1,2,0,0
3,156,33,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,157,34,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,158,35,L,0,1,0,0,1,1,0,1,0,0,3,1,1,0,0
3,159,36,L,0,1,0,0,1,0,1,1,0,0,3,1,1,0,0
3,160,37,M,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0
3,161,38,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,162,39,U,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
3,163,40,U,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
3,164,41,L,0,1,0,1,1,1,0,1,0,0,4,0,1,0,0
3,165,42,L,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0
3,166,43,M,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
3,167,44,M,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
3,168,45,U,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,169,46,L,0,1,0,0,1,0,1,1,0,0,3,0,1,0,0
3,170,47,L,1,1,0,0,0,0,0,1,0,0,1,0,2,0,0
3,171,48,U,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
3,172,49,U,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
3,173,50,M,1,1,0,0,1,0,0,0,0,0,1,1,2,0,0
3,174,51,M,0,1,0,0,1,1,0,1,0,0,3,1,1,0,0
3,175,52,U,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
3,176,53,U,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,177,54,U,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
3,178,55,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,179,56,L,1,1,1,0,1,0,0,0,0,1,2,1,2,1,0
4,180,1,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
4,181,2,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
4,182,3,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
4,183,4,U,0,0,1,0,1,1,0,0,0,1,3,0,0,1,0
4,184,5,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,185,6,U,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,186,7,U,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
4,187,8,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,188,9,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,189,10,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,190,11,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,191,5,U,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0
4,192,6,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,193,7,U,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0
4,194,8,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,195,9,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
4,196,10,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
4,197,11,M,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
4,198,12,M,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
4,199,13,M,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0
4,200,14,M,1,1,1,0,0,0,0,0,0,1,1,0,2,1,0
4,201,15,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,202,16,M,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
4,203,17,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
4,204,18,M,1,0,1,1,0,0,0,0,0,0,2,0,2,0,0
4,205,19,M,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0
4,206,20,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
4,207,21,M,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0
4,208,22,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,209,23,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
4,210,24,L,0,1,1,0,0,0,1,0,0,1,3,0,1,1,0
4,211,25,L,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0
4,212,26,L,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0
4,213,27,L,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
4,214,28,L,0,1,0,1,0,1,0,0,0,0,3,0,1,0,0
4,215,29,L,0,1,0,1,0,0,0,1,0,0,3,0,1,0,0
4,216,30,L,1,1,1,1,0,0,0,0,0,0,2,1,2,0,0
4,217,31,L,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0
4,218,32,L,1,1,0,1,0,0,1,0,1,0,2,0,2,1,0
4,219,33,L,0,1,1,1,0,0,1,0,0,0,3,0,2,0,0
4,220,34,L,1,1,1,1,0,0,1,0,0,0,3,0,2,0,0
4,221,35,L,0,1,0,0,0,1,1,0,0,0,3,1,1,0,0
4,222,36,L,0,0,1,1,1,1,1,1,1,0,6,0,0,1,0
4,223,37,L,0,1,0,1,0,1,1,1,0,0,4,1,1,0,0
4,224,38,L,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0
4,225,39,L,1,1,0,1,1,0,0,0,0,0,2,0,2,0,0
4,226,40,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,227,41,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,228,42,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
4,229,43,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
4,230,44,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,231,45,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,232,46,M,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4,233,47,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,234,48,L,0,1,0,1,0,1,1,0,0,0,3,0,1,0,0
4,235,49,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
4,236,50,L,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0
4,237,51,L,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0
4,238,52,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,239,53,M,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
4,240,54,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,241,55,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,242,56,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,243,57,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,244,58,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,245,59,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,246,60,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,247,61,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,248,1,L,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0
5,249,2,L,0,1,0,1,1,1,0,0,0,0,3,0,1,0,0
5,250,3,L,0,1,0,1,1,0,0,1,0,0,3,0,1,0,0
5,251,4,L,1,1,0,1,0,1,0,0,0,0,2,0,2,0,0
5,252,5,L,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
5,253,6,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,254,7,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,255,8,M,1,0,1,0,0,0,0,0,0,0,1,1,2,0,0
5,256,9,M,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0
5,257,10,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,258,11,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5,259,12,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5,260,13,M,1,1,1,0,1,0,0,0,0,0,2,0,2,0,0
5,261,14,M,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0
5,262,15,M,1,1,0,0,1,0,0,0,0,1,1,0,2,1,0
5,263,16,L,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0
5,264,17,L,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0
5,265,18,L,0,1,1,0,1,0,0,0,0,0,2,0,1,0,0
5,266,19,L,0,1,1,1,1,0,0,0,0,0,3,0,1,0,0
5,267,20,L,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0
5,268,21,L,0,1,0,1,1,0,0,0,0,0,2,1,1,0,0
5,269,22,L,0,1,0,1,0,1,0,0,1,0,2,0,1,1,0
5,270,23,L,0,1,1,1,0,1,1,0,0,0,5,0,1,0,0
5,271,24,L,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0
5,272,25,L,0,1,1,1,0,1,1,0,0,0,4,0,1,0,0
5,273,26,L,0,1,0,1,0,1,0,0,0,0,2,0,1,0,0
5,274,27,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
5,275,28,L,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0
5,276,29,L,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,277,30,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
5,278,31,L,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0
5,279,32,U,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,280,33,U,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0
5,281,34,U,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5,282,35,U,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0
5,283,36,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
5,284,37,U,1,0,1,0,1,1,0,0,0,1,3,0,1,1,0
5,285,38,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,286,39,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,287,40,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,41,L,1,1,1,0,1,0,0,0,0,0,2,0,2,0,0
5,289,42,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,290,43,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,291,44,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,292,45,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,293,46,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,294,47,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,295,48,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,296,49,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,297,50,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,298,51,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,299,52,U,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
6,300,1,L,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
6,301,2,L,0,1,0,1,1,1,0,0,0,1,3,0,1,1,0
6,302,3,L,0,1,0,1,1,0,0,1,0,0,3,0,1,0,0
6,303,4,L,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
6,304,5,L,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0
6,305,6,L,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0
6,306,7,L,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0
6,307,8,L,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0
6,308,9,L,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,309,10,L,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,310,11,M,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
6,311,12,M,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
6,312,13,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,313,14,M,1,0,1,1,0,0,0,0,0,0,2,0,2,0,0
6,314,15,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,315,16,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,316,17,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,317,18,M,1,0,1,0,1,1,0,0,0,0,3,0,1,0,0
6,318,19,M,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0
6,319,20,M,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
6,320,21,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,321,22,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,322,23,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,323,24,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,324,25,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,325,26,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,326,27,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,327,28,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,328,29,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,329,30,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,330,31,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,331,32,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,332,33,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,333,34,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,334,35,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,335,36,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,37,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,337,38,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,338,39,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,339,40,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,340,41,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,341,42,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,342,43,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,343,44,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,344,45,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,345,46,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,346,47,L,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0
6,347,48,L,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0
6,348,49,L,1,1,0,1,1,0,0,0,0,0,2,0,2,0,0
6,349,50,L,1,1,0,1,0,0,0,1,0,0,2,0,2,0,0
6,350,51,L,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0
6,351,52,L,1,1,0,1,0,0,0,1,0,0,2,0,2,0,0
6,352,53,L,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0
6,353,54,L,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0
6,354,55,L,0,1,0,0,1,1,0,1,0,0,3,0,1,0,0
6,355,56,L,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0
6,356,57,U,1,0,1,0,1,0,0,0,0,1,2,0,1,1,0
6,357,58,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,358,59,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,359,60,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,360,61,U,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
